834:1;buildings>infrastructure#2!industrial_complex#1!air_base#1!@3838#naval_base<3+!$manpower>322900$category>town$owner>FRA$vp>3838#1!$cores>COR!FRA!$provinces>3838!9851!11804!$?
279;buildings>infrastructure#3!arms_factory#1!industrial_complex#7!air_base#3!@8222#naval_base<5+!@5121#naval_base<1+!@650#bunker<1+!$manpower>3935146$category>large_city$resources>steel#16!$owner>CHL$cores>CHL!$vp>650#10!$provinces>650!5121!5169!5191!8194!8222!8229!8251!12920!12954!12984!$?
28;buildings>infrastructure#4!industrial_complex#3!@549#bunker<10+!@678#bunker<10+!@3629#bunker<10+!@6529#bunker<10+!@9503#bunker<10+!@9559#bunker<10+!@11502#bunker<10+!anti_air_building#5!air_base#5!$manpower>1915600$category>city$resources>steel#100!$owner>FRA$vp>678#5!9503#5!9559#10!$cores>FRA!$provinces>549!678!1346!3629!6529!9503!9559!11502!$?
280;buildings>infrastructure#1!$category>pastoral$owner>BRA$cores>BRA!$provinces>2142!2147!2204!8175!11010!12939!$manpower>120000$?
281;buildings>infrastructure#2!@4967#naval_base<1+!$manpower>79300$category>enclave$owner>ENG$cores>MLD!$vp>4967#1!$provinces>4967!$?
282;buildings>infrastructure#4!air_base#6!industrial_complex#4!arms_factory#2!dockyard#4!@9998#naval_base<6+!$manpower>13773000$category>megalopolis$resources>aluminium#1!$owner>JAP$cores>JAP!$vp>1182#50!$provinces>993!1097!1113!1182!4000!4100!4184!4188!7016!9998!11908!$?
283;buildings>infrastructure#2!industrial_complex#1!$resources>tungsten#1.000!$owner>XSM$cores>XSM!CHI!PRC!$provinces>531!556!1630!1647!1933!1985!2022!3745!4313!5025!6638!7397!7911!12797!12882!$manpower>3705400$category>rural$?
284;buildings>infrastructure#3!arms_factory#1!industrial_complex#4!air_base#3!@4543#naval_base<3+!@1814#naval_base<2+!$manpower>899836$category>city$owner>NZL$vp>1814#10!4543#5!$cores>NZL!$provinces>1565!1713!1746!1786!1801!1814!4543!4615!4718!4748!4804!7692!7742!7783!7826!7887!10334!10373!10609!10710!12362!12604!12617!12664!$?
285;buildings>infrastructure#3!arms_factory#2!industrial_complex#4!dockyard#2!air_base#5!@12406#naval_base<6+coastal_bunker<2+!@7859#bunker<1+!@7520#coastal_bunker<1+!$owner>AST$vp>7859#30!12406#20.0!7520#1!$cores>AST!$provinces>1537!1611!1667!1861!2114!2146!2163!4453!4478!4500!4658!4673!4763!4836!4864!5134!5161!7450!7471!7496!7520!7533!7649!7664!7859!8234!8249!10388!10427!10455!10500!10682!10977!10991!11019!12377!12406!12435!12532!12560!12934!12968!$manpower>2563100$category>large_city$?
286;buildings>infrastructure#2!industrial_complex#1!air_base#2!@4401#naval_base<4+!$resources>rubber#55!$cores>VIN!$owner>FRA$vp>4401#3!$provinces>1285!1300!1328!1396!1400!1423!1605!4223!4284!4334!4341!4363!4401!4405!7238!7271!7303!7331!7347!7380!10162!10232!10261!12109!12133!12150!12176!12204!12232!$manpower>5245000$category>town$?
287;buildings>infrastructure#1!$owner>SIK$cores>SIK!CHI!PRC!$vp>4973#1!$provinces>4973!8042!8086!10885!10911!12864!$manpower>408000$category>wasteland$?
288;buildings>infrastructure#2!industrial_complex#1!air_base#1!@1330#naval_base<4+!$manpower>10722500$category>town$resources>rubber#3!tungsten #!$cores>BRM!$owner>RAJ$vp>1330#5!$provinces>1014!1142!1296!1315!1330!1333!1385!1403!1417!1650!3651!3999!4019!4059!4147!4202!4275!4293!4336!4408!4454!4541!4626!7034!7122!7163!7190!7254!7295!7382!7441!7534!10033!10154!10182!10217!10223!10267!10283!10344!11966!12090!12125!12127!12197!12238!12256!12267!12284!12292!12449!$?
289;buildings>infrastructure#2!arms_factory#1!industrial_complex#5!air_base#3!@7408#naval_base<3+!$manpower>12422400$category>city$resources>rubber#8!tungsten#2!$owner>SIA$vp>7408#10!1488#1!10438#1!$cores>SIA!$provinces>1244!1253!1357!1427!1488!1535!1548!1990!4319!4348!4433!4496!4511!4566!4582!7225!7292!7312!7338!7353!7367!7408!7492!7516!7531!7544!7559!7572!7587!7601!7675!8045!10193!10221!10250!10293!10371!10384!10398!10411!10425!10438!12173!12195!12224!12264!12345!12360!12373!12388!12402!12417!12431!$?
29;buildings>infrastructure#4!industrial_complex#3!air_base#10!@575#naval_base<6+!$manpower>2976400$category>large_city$resources>steel#42!aluminium#8!$owner>FRA$vp>575#5!11483#10!11548#15!$cores>FRA!$provinces>575!3476!3536!6504!9500!11483!11548!11606!$?
290;buildings>infrastructure#2!air_base#3!@12100#naval_base<3+!@9945#naval_base<3+!$manpower>744000$category>rural$resources>steel#23!$owner>SPR$cores>MOR!$vp>9945#3!$provinces>4199!7215!9945!10113!12087!12100!$?
291;buildings>infrastructure#3!arms_factory#1!industrial_complex#2!air_base#4!@2089#naval_base<1+!$manpower>2044165$category>town$resources>oil#15!$owner>IRQ$vp>2097#10!7994#1!8001#3!2089#5!$cores>IRQ!$provinces>78!2004!2089!2097!3795!7977!7994!8001!10876!12046!12726!12839!12855!$?
292;buildings>infrastructure#1!arms_factory#1!industrial_complex#1!@12702#naval_base<6+!$manpower>1440000$category>rural$resources>oil#3!$owner>SAU$vp>12727#5!$cores>SAU!$provinces>1955!2057!4968!4974!5024!5027!5058!5093!5099!7970!7995!8004!8060!8101!10791!10815!10850!10892!10901!10923!12455!12702!12727!12749!12813!12870!$?
293;buildings>infrastructure#2!arms_factory#1!industrial_complex#1!@10840#naval_base<1+!$manpower>2489500$category>rural$resources>oil#1!$owner>YEM$vp>10840#3!$cores>YEM!$provinces>1920!1973!4924!10752!10840!$?
294;buildings>infrastructure#1!arms_factory#1!industrial_complex#1!@10760#naval_base<3+!$manpower>369000$category>rural$resources>oil#2!$owner>OMA$vp>10760#3!$cores>OMA!$provinces>1947!2018!2059!2103!4993!5049!8002!8020!10760!$?
295;buildings>infrastructure#2!industrial_complex#1!@10968#naval_base<1+!$manpower>3540948$category>rural$resources>tungsten#2!$owner>BEL$vp>191#1!5117#3!$cores>COG!$provinces>191!1516!1731!1817!1929!1968!2024!4128!4515!5117!7716!9986!10025!10858!10968!12795!12896!12907!12925!12945!$?
296;buildings>infrastructure#1!@12891#naval_base<1+!$manpower>364900$category>enclave$resources>rubber#1!$owner>POR$cores>GNB!$vp>12891#1!$provinces>12747!12891!$?
297;buildings>infrastructure#1!@1903#naval_base<1+!@8244#naval_base<1+!$manpower>185000$category>enclave$owner>SPR$cores>EQG!$vp>1903#1!$provinces>1903!8244!$?
298;buildings>infrastructure#1!arms_factory#1!industrial_complex#1!@7959#naval_base<2+!$manpower>745000$category>rural$resources>rubber#6!$owner>LIB$vp>7959#3!$cores>LIB!$provinces>7959!8006!$?
299;buildings>infrastructure#1!@12960#naval_base<1+!$manpower>2463$category>enclave$owner>ENG$provinces>12960!$?
3;buildings>infrastructure#3!arms_factory#4!industrial_complex#4!air_base#4!$manpower>2211689$resources>aluminium#18!$category>large_city$owner>SWI$vp>9620#15!$cores>SWI!$provinces>636!3612!6666!6683!9587!9618!9620!9622!9638!11590!11604!13124!$?
30;buildings>infrastructure#4!industrial_complex#1!dockyard#1!air_base#2!$manpower>1388400$category>city$owner>FRA$vp>11465#5!$cores>FRA!$provinces>503!527!3495!3509!3523!9478!9867!11463!11465!11613!11616!$?
300;buildings>infrastructure#3!arms_factory#1!industrial_complex#6!dockyard#1!air_base#1!@10362#naval_base<6+bunker<1+coastal_bunker<1+!$manpower>1734000$category>large_city$resources>oil#1!steel#1!$owner>URG$cores>URG!$vp>10362#5!$provinces>1613!1626!1641!1654!4457!10347!10362!10502!12336!12440!12468!12481!12496!$?
301;buildings>infrastructure#2!arms_factory#1!industrial_complex#3!air_base#1!$manpower>890100$category>town$owner>PAR$cores>PAR!$vp>2152#5!$provinces>2152!2173!2194!11023!12901!$?
302;buildings>infrastructure#2!arms_factory#1!industrial_complex#5!air_base#2!$resources>tungsten#60!steel#2!$category>city$owner>BOL$cores>BOL!$vp>5230#5!$provinces>2174!5179!5229!5230!8157!8225!10938!10952!10987!12930!12979!13134!13174!13195!$manpower>2044500$?
303;buildings>infrastructure#2!arms_factory#1!industrial_complex#6!air_base#3!@12997#naval_base<5+!$manpower>3563249$resources>oil#14!$category>large_city$owner>PRU$cores>PRU!$vp>12997#5!$provinces>2156!2162!5190!8199!12969!12983!12997!$?
304;buildings>infrastructure#2!arms_factory#1!industrial_complex#2!air_base#1!@7630#naval_base<4+!@4611#naval_base<1+!$manpower>467459$resources>oil#1!$category>town$owner>PAN$cores>PAN!$vp>7630#5!4611#1!$provinces>1633!4611!4624!7630!10482!$?
305;buildings>infrastructure#2!arms_factory#1!industrial_complex#4!air_base#1!@8252#naval_base<4+!$manpower>2000000$resources>oil#2!$category>city$owner>ECU$cores>ECU!$vp>12798#5!8252#1!$provinces>5051!5120!8047!8075!8252!10888!11020!12798!$?
306;buildings>infrastructure#2!arms_factory#1!industrial_complex#5!air_base#2!$manpower>4953049$category>city$owner>COL$cores>COL!$vp>10747#10!$provinces>2079!7936!7991!7993!10747!10790!10846!$?
307;buildings>infrastructure#2!arms_factory#1!industrial_complex#5!air_base#2!@8113#naval_base<3+!@10912#naval_base<2+!$category>city$manpower>1335010$resources>oil#41!$owner>VEN$cores>VEN!$vp>8113#5!$provinces>4942!7968!8024!8080!8113!10767!10823!10912!5056!4892!5000!$?
308;buildings>infrastructure#2!@4450#naval_base<1+!@7123#naval_base<1+!$manpower>25678$category>tiny_island$cores>BAS!$owner>ENG$provinces>4450!7123!$?
309;buildings>infrastructure#2!industrial_complex#1!@12828#naval_base<1+!$manpower>152000$resources>aluminium#60!$category>rural$cores>SUR!$owner>HOL$vp>10906#1!$provinces>1928!10906!12828!$?
31;buildings>infrastructure#3!arms_factory#1!industrial_complex#1!air_base#2!$owner>FRA$vp>6766#5!$cores>OCC!FRA!$provinces>929!943!3740!3749!3915!3946!3948!6759!6766!6915!6917!6931!9853!9882!9884!11699!11702!12169!$manpower>1825000$category>city$?
310;buildings>infrastructure#1!@12885#naval_base<1+!$manpower>47341$category>pastoral$owner>FRA$cores>CAY!$vp>12885#1!$provinces>4934!12885!$?
311;buildings>infrastructure#2!@2077#naval_base<1+!$manpower>51000$category>pastoral$cores>BLZ!$owner>ENG$vp>2077#1!$provinces>2077!$?
312;buildings>infrastructure#2!arms_factory#1!industrial_complex#2!air_base#1!@12865#naval_base<1+!@8017#naval_base<1+!$manpower>859761$resources>chromium#1!$category>town$owner>HON$cores>HON!$vp>12865#3!$provinces>2031!8017!12865!$?
313;buildings>infrastructure#2!arms_factory#1!industrial_complex#2!air_base#1!@10886#naval_base<1+!@13085#naval_base<1+!$manpower>1771000$resources>chromium#4!$category>town$owner>GUA$cores>GUA!$vp>10886#3!$provinces>4991!10842!10886!13085!$?
314;buildings>infrastructure#2!arms_factory#1!industrial_complex#2!air_base#1!@12823#naval_base<1+!$manpower>1437611$resources>chromium#1!$category>town$owner>ELS$cores>ELS!$vp>12823#3!$provinces>12823!13093!$?
315;buildings>infrastructure#2!arms_factory#1!industrial_complex#3!air_base#1!@7622#naval_base<3+!@1550#naval_base<1+!$manpower>3607919$resources>steel#3!chromium#90!$category>town$owner>CUB$cores>CUB!$vp>7622#5!7590#1!$provinces>1550!4476!4600!7451!7546!7590!7622!10374!10498!12347!$?
316;buildings>infrastructure#2!arms_factory#1!industrial_complex#2!air_base#1!@13087#naval_base<1+!$manpower>503856$resources>chromium#1!$category>town$owner>COS$cores>COS!$vp>13087#3!$provinces>12878!13087!13092!$?
317;buildings>infrastructure#2!arms_factory#1!industrial_complex#2!air_base#1!@12738#naval_base<1+!$resources>chromium#1!$category>town$owner>NIC$cores>NIC!$vp>12738#3!$provinces>1988!2075!10728!12738!13139!13178!$manpower>683000$?
318;buildings>infrastructure#2!arms_factory#1!industrial_complex#2!air_base#1!@4641#naval_base<3+!$manpower>2380000$category>town$resources>chromium#2!$owner>HAI$cores>HAI!$vp>4641#5!$provinces>1594!1635!4641!$?
319;buildings>infrastructure#2!arms_factory#1!industrial_complex#3!air_base#1!@7660#naval_base<2+!$manpower>1256000$category>town$resources>chromium#1!$owner>DOM$cores>DOM!$vp>7660#5!4598#1!$provinces>4598!7632!7660!10484!$?
32;buildings>infrastructure#2!$manpower>1007500$category>town$resources>steel#30!aluminium#30!$owner>FRA$vp>3768#1!$cores>OCC!FRA!$provinces>762!780!3589!3768!6784!11713!$?
320;buildings>infrastructure#3!@10149#naval_base<1+!$manpower>286410$category>enclave$owner>FRA$cores>RAJ!$provinces>10149!$?
321;buildings>infrastructure#3!@1273#naval_base<1+!$manpower>533952$category>enclave$owner>POR$cores>RAJ!$vp>1273#1!$provinces>1273!$?
322;buildings>infrastructure#1!industrial_complex#1!$resources>tungsten#2.000!$owner>TIB$cores>TIB!$provinces>2010!2093!4994!5011!7926!8068!10755!10918!$manpower>1722000$category>pastoral$?
323;buildings>infrastructure#2!arms_factory#1!industrial_complex#2!$manpower>5573791$category>town$resources>chromium#2!$owner>NEP$vp>4987#3!$cores>NEP!$provinces>4386!4987!5310!7374!10825!10910!12892!$?
324;buildings>infrastructure#1!arms_factory#1!industrial_complex#2!$manpower>450000$category>town$resources>tungsten#2!$owner>BHU$vp>8010#3!$cores>BHU!$provinces>8010!12860!$?
325;buildings>infrastructure#2!arms_factory#1!industrial_complex#3!$resources>tungsten#2.000!$owner>YUN$cores>YUN!CHI!PRC!$vp>1319#10!$provinces>1114!1172!1196!1319!1383!1522!1653!4501!7446!7606!8023!10346!10776!12262!12282!$manpower>10994500$category>town$?
326;buildings>infrastructure#3!air_base#1!@10062#naval_base<6+coastal_bunker<1+!$manpower>1143516$category>large_town$owner>ENG$cores>CHI!PRC!$vp>10062#3!$provinces>10062!$?
327;buildings>infrastructure#3!arms_factory#1!industrial_complex#3!air_base#6!@10265#naval_base<5+!$manpower>3548684$category>town$owner>PHI$vp>10265#15!1221#1!$cores>PHI!$provinces>1221!1288!7275!7323!7351!10165!10236!10265!12236!$?
328;buildings>infrastructure#2!$manpower>7536266$category>rural$resources>aluminium#7!$owner>MAN$cores>CHI!MAN!PRC!$vp>4572#1!10433#1!$provinces>800!861!887!927!945!946!1567!3888!3913!3929!3932!3947!3949!4503!4572!6868!6905!6947!7523!7591!7652!7663!9759!9782!9803!9841!9848!9866!9883!9913!9928!10433!11744!11781!11823!11850!11862!11864!12412!$?
329;buildings>infrastructure#1!arms_factory#1!industrial_complex#1!$manpower>85000$resources>chromium#2!$category>rural$owner>TAN$vp>10627#3!$cores>TAN!SOV!$provinces>1676!1877!4680!7703!7731!7804!7819!10597!10627!10646!12610!12625!$?
33;buildings>infrastructure#3!$manpower>636400$category>town$vp>651#1!$owner>FRA$cores>FRA!$provinces>651!669!3621!3626!3655!6648!6651!9629!11869!$?
330;buildings>infrastructure#1!arms_factory#1!industrial_complex#3!air_base#1!$resources>steel#2.000!chromium#3.000!$owner>MON$vp>4801#10!7799#1!$cores>MON!$provinces>1725!1728!1798!1859!4697!4732!4801!4862!7799!7881!10554!10623!12605!12675!$manpower>435550$category>large_town$?
331;buildings>infrastructure#2!industrial_complex#1!@12505#naval_base<1+!$manpower>255060$category>rural$owner>ENG$cores>CAN!$provinces>7758!7788!12505!12680!12698!$?
332;buildings>infrastructure#1!@12503#naval_base<1+!$category>wasteland$owner>ENG$cores>CAN!$provinces>1426!1785!4720!4787!12503!13165!13180!$manpower>22179$?
333;buildings>infrastructure#2!@1208#naval_base<1+!@7371#naval_base<2+!$manpower>889800$resources>rubber#40!oil#12!$category>rural$owner>MAL$vp>7371#1!1208#1!$cores>MAL!$provinces>1208!1306!1335!2117!4216!4282!4338!4396!7358!7371!7387!7443!8091!10143!10199!10212!10240!10269!10285!12171!12186!12228!12283!12905!$?
334;buildings>infrastructure#1!@10237#naval_base<3+!@1316#naval_base<1+!@10325#naval_base<1+!$manpower>2168600$resources>rubber#75!oil#5!$category>rural$owner>INS$cores>INS!$vp>10237#1!$provinces>1225!1230!1252!1304!1316!1404!1416!2047!2170!2184!2222!4236!4279!4323!4335!4409!5176!5226!7227!7231!7296!7299!7355!7415!7424!8221!10138!10178!10181!10237!10266!10282!10310!10325!12110!12129!12196!12225!12243!12252!12280!12955!$?
335;buildings>infrastructure#3!industrial_complex#1!dockyard#1!air_base#3!@7381#naval_base<6+!@4608#naval_base<3+!$manpower>41718200$category>city$resources>rubber#140!oil#10!$owner>INS$cores>INS!$vp>7381#5!4608#3!$provinces>1209!1386!1398!1413!1425!4306!4390!4406!4434!4608!4621!7223!7381!7421!7642!7654!10135!10279!10307!10479!10491!12249!12277!12293!12472!$?
336;buildings>infrastructure#2!industrial_complex#1!air_base#6!@12299#naval_base<8+coastal_bunker<3+!@7329#naval_base<1+!@10297#naval_base<5+!$manpower>2893200$category>large_town$resources>rubber#342!steel#20!tungsten#189!aluminium #!$owner>MAL$vp>12299#10!7329#1!10297#1!$cores>MAL!$provinces>1291!1348!1364!1376!1392!4310!4355!4367!4384!4412!4424!7329!7342!7399!7427!10227!10297!10313!12113!12144!12199!12215!12255!12271!12299!$?
337;buildings>infrastructure#2!@13003#naval_base<1+!$manpower>25900$category>small_island$owner>DEN$cores>DEN!$provinces>13003!$?
338;buildings>infrastructure#4!arms_factory#1!industrial_complex#1!air_base#2!@3369#naval_base<2+!$manpower>1800615$resources>steel#9!$category>city$owner>ENG$vp>3369#5!$cores>ENG!$provinces>3369!6221!6351!6378!9484!11471!$?
339;buildings>infrastructure#2!industrial_complex#1!air_base#2!@4112#naval_base<5+!$manpower>1401889$resources>chromium#50!$category>large_town$owner>TUR$vp>4112#15!928#5!$cores>TUR!$provinces>928!3927!4112!6992!7130!9921!9929!10038!11848!11898!$?
34;buildings>infrastructure#3!arms_factory#1!industrial_complex#4!air_base#1!$manpower>3381300$category>large_city$owner>BEL$vp>3516#5!11519#10!9536#3!$cores>BEL!$provinces>3488!3516!6537!9418!9444!9536!11407!11519!13081!$?
340;buildings>infrastructure#2!industrial_complex#1!dockyard#1!$manpower>1077853$resources>chromium#39!$category>town$owner>TUR$vp>947#10!9799#5!$cores>TUR!$provinces>785!947!3786!3851!6864!6912!9799!9887!11778!11867!$?
341;buildings>infrastructure#2!industrial_complex#1!@849#naval_base<3+coastal_bunker<2+!$manpower>363947$resources>$category>town$owner>TUR$vp>11842#5!$cores>TUR!$provinces>849!922!3879!3893!6895!11842!$?
342;buildings>infrastructure#2!industrial_complex#1!@1005#naval_base<4+!$manpower>362689$resources>chromium#35!$category>rural$owner>TUR$vp>1005#5!$cores>TUR!$provinces>1005!1119!9941!10122!11917!12013!12016!12096!$?
343;buildings>infrastructure#2!industrial_complex#1!$manpower>1298543$resources>chromium#25!$category>rural$owner>TUR$vp>10041#1!9878#5!3856#3!$cores>TUR!$provinces>856!981!3856!3983!6877!6945!9878!10041!11796!11831!11907!$?
344;buildings>infrastructure#2!industrial_complex#1!@11746#naval_base<3+!$manpower>1081781$category>town$owner>TUR$vp>9893#15!7620#10!6813#3!11746#5!$cores>TUR!$provinces>806!3889!6813!7620!9893!9912!11746!$?
345;buildings>infrastructure#2!$owner>TUR$vp>10056#1!11810#5!$cores>TUR!$provinces>1122!4008!4124!4127!7026!7143!10056!11810!$manpower>411798$category>rural$?
346;buildings>infrastructure#2!air_base#5!$manpower>849453$category>rural$owner>TUR$vp>9861#5!6807#3!784#1!$cores>TUR!$provinces>784!869!940!3788!3876!6807!6894!9755!9763!9811!9861!11792!11860!13122!$?
347;buildings>infrastructure#2!industrial_complex#1!@904#naval_base<2+!$manpower>807660$resources>chromium#19!steel #!$category>rural$owner>TUR$vp>11811#1!904#1!$cores>TUR!$provinces>890!904!3905!3919!6871!11811!11866!11883!$?
348;buildings>infrastructure#2!$manpower>858452$resources>$category>rural$owner>TUR$vp>3870#5!$cores>TUR!$provinces>886!921!961!3870!3921!6888!6956!6977!9830!$?
349;buildings>infrastructure#2!$manpower>592821$category>rural$owner>TUR$vp>9777#3!$cores>TUR!$provinces>3890!3903!3950!6919!6950!6965!9761!9777!$?
35;buildings>infrastructure#4!industrial_complex#5!$owner>HOL$cores>HOL!$vp>3262#5!6496#3!11562#1!$provinces>480!3262!6496!6500!9431!11456!11562!$manpower>1449000$category>city$?
350;buildings>infrastructure#2!air_base#2!$owner>TUR$vp>4512#5!9823#1!12387#1!$provinces>4512!9823!11759!11871!12387!12416!$manpower>571935$category>town$?
351;buildings>infrastructure#2!$manpower>2352100$category>town$owner>SOV$cores>SOV!$vp>9131#3!$provinces>23!60!75!81!84!106!129!135!143!160!163!166!174!196!2996!3056!3057!3079!3087!3091!3099!3124!3135!3154!3157!3160!3164!3175!6017!6073!6077!6091!6097!6112!6113!6119!6158!6180!6182!6189!6190!9043!9102!9110!9113!9131!9133!9136!9168!9199!9200!9202!9207!9210!9222!11027!11035!11036!11062!11075!11086!11095!11103!11107!11143!11168!11177!11180!11189!11213!$?
352;buildings>infrastructure#1!$manpower>262095$category>rural$owner>TUR$vp>12476#1!7530#1!10497#1!$provinces>864!1463!7530!10497!11739!12318!12476!$?
353;buildings>infrastructure#1!$owner>TUR$vp>11853#3!9860#1!876#1!9868#1!$provinces>876!9858!9860!9868!9954!10399!11797!$manpower>523537$category>rural$?
354;buildings>infrastructure#2!@9932#naval_base<2+!$manpower>1031129$category>town$owner>TUR$vp>9932#15!10472#5!3979#3!$cores>TUR!$provinces>789!3714!3979!6976!6991!7454!9886!9932!10403!10472!11753!11853!$?
355;buildings>infrastructure#2!@11881#naval_base<3+!$manpower>1151863$category>rural$owner>TUR$vp>11881#10!$cores>TUR!$provinces>933!960!975!3935!3965!9900!9915!11881!11894!$?
356;buildings>infrastructure#2!@6995#naval_base<1+!$manpower>860589$category>rural$owner>TUR$vp>6938#10!6995#3!$cores>TUR!$provinces>979!3967!3982!6920!6938!6978!6995!9844!9871!11839!11897!$?
357;buildings>infrastructure#4!arms_factory#1!industrial_complex#5!dockyard#4!air_base#10!@6732#naval_base<8+!@9832#naval_base<3+!$resources>steel#12!$category>metropolis$owner>USA$cores>USA!$vp>6732#20!12459#1!9832#1!$provinces>715!718!733!905!908!1282!1338!1619!3710!3712!3715!3732!3906!4287!4445!6719!6732!6909!7462!7629!9675!9832!9847!9850!10247!10318!10481!11830!12202!12221!12459!13158!$manpower>8404713$?
358;buildings>infrastructure#4!arms_factory#2!industrial_complex#7!dockyard#3!air_base#10!@3878#naval_base<6+!$resources>steel#13!$category>megalopolis$owner>USA$cores>USA!$vp>3878#30.0!11654#3!$provinces>598!706!734!859!1436!3602!3702!3733!3747!3806!3878!3894!6707!6717!6778!6795!6911!6916!9664!9673!9693!9708!9721!9754!9774!10381!11650!11654!11660!11662!11665!11680!11722!13157!$manpower>12588061$?
359;buildings>infrastructure#4!industrial_complex#7!air_base#4!$manpower>4041332$category>large_city$owner>USA$vp>6882#5!$cores>USA!$provinces>3693!3863!6882!9801!9864!11740!11782!11900!$?
36;buildings>infrastructure#3!industrial_complex#2!@6336#naval_base<3+!$owner>HOL$cores>HOL!$vp>6241#5!9363#1!9335#3!6336#1!$provinces>6241!6286!6336!8622!9309!9335!9363!9403!11318!$manpower>2364000$category>city$?
360;buildings>infrastructure#4!industrial_complex#5!dockyard#7!air_base#2!@6845#naval_base<8+!$manpower>9631346$category>megalopolis$resources>steel#44!$owner>USA$cores>USA!$vp>6845#20!11800#15!$provinces>702!822!847!862!880!891!894!3687!3697!3802!3824!3847!3850!3880!3897!6705!6845!6869!6872!6885!6899!9662!9789!9804!9820!9836!11648!11758!11769!11785!11789!11799!11800!11817!12405!$?
361;buildings>infrastructure#4!industrial_complex#5!dockyard#1!air_base#6!@6984#naval_base<2+!@3957#naval_base<1+!$manpower>2118394$category>city$owner>USA$vp>3957#40!6984#5!$cores>USA!$provinces>3957!6823!6892!6929!6984!9758!9786!11892!$?
362;buildings>infrastructure#3!industrial_complex#2!dockyard#4!air_base#6!fuel_silo#1!@788#naval_base<10+!$owner>USA$cores>USA!$vp>788#10!10412#15!$provinces>788!865!873!951!1506!3823!3917!3925!6846!7558!9779!9931!10343!10412!10439!11738!11841!11873!$manpower>2249080$category>large_city$?
363;buildings>infrastructure#3!industrial_complex#3!air_base#3!@1132#naval_base<1+!$manpower>3170274$category>city$owner>USA$cores>USA!$vp>7138#3!$provinces>1019!1077!1132!1163!4168!6943!7045!7083!7138!7643!9876!9967!10051!10081!10096!10468!10495!11783!12054!12445!$?
364;buildings>infrastructure#3!industrial_complex#2!@7202#naval_base<2+!$manpower>1738764$category>city$owner>USA$cores>USA!$vp>7202#1!$provinces>1485!1547!3994!4491!4653!7012!7134!7202!7527!10029!10047!11927!$?
365;buildings>infrastructure#3!industrial_complex#3!air_base#2!@11975#naval_base<1+!$manpower>2908504$category>city$owner>USA$cores>USA!$vp>12384#10!$provinces>638!968!1433!1480!5090!7118!7583!7612!9949!9996!10394!10437!10465!10492!11975!12325!12384!12470!12498!$?
366;buildings>infrastructure#2!industrial_complex#3!air_base#8!@1572#naval_base<2+!@1843#naval_base<5+!@7388#naval_base<3+!@10352#naval_base<1+!$manpower>1468210$category>city$owner>USA$cores>USA!$vp>1843#5!$provinces>866!1556!1572!1584!1843!1913!7388!9834!10352!10380!10407!10489!12353!12381!12439!12752!$?
367;buildings>infrastructure#3!industrial_complex#3!@7480#naval_base<3+!$manpower>2646247$category>city$owner>USA$cores>USA!$vp>7480#1!12735#1!$provinces>492!860!1587!4594!4622!4756!5059!7422!7480!7640!10192!10520!11509!11942!12735!12803!$?
368;buildings>infrastructure#3!industrial_complex#3!$manpower>2616555$category>city$resources>steel#60!$owner>USA$cores>USA!$vp>12501#3!$provinces>913!1758!1987!7615!7791!7797!8014!8083!10281!10615!10657!10824!10909!12501!12670!$?
369;buildings>infrastructure#3!industrial_complex#3!air_base#4!$manpower>2614588$category>city$owner>USA$cores>USA!$vp>6696#1!$provinces>1445!1582!4402!4452!4988!6696!6974!7547!9727!10586!10727!12568!12637!12709!$?
37;buildings>infrastructure#4!arms_factory#2!industrial_complex#4!dockyard#2!air_base#6!@6287#naval_base<8+!@3325#naval_base<3+!@6361#naval_base<1+!$manpower>2034114$category>large_city$owner>DEN$vp>6287#20!3325#5!$cores>DEN!$provinces>3260!3305!3325!3374!6287!6361!6393!$?
370;buildings>infrastructure#2!industrial_complex#1!air_base#3!@4464#naval_base<4+!$manpower>2009820$category>city$owner>USA$vp>4464#1!$cores>USA!$provinces>1615!4464!4510!4565!4650!7464!7668!8110!10410!10449!10753!11717!12328!12429!$?
371;buildings>infrastructure#3!industrial_complex#2!air_base#5!@7552#naval_base<5+!$manpower>2101592$category>city$resources>oil#44!$owner>USA$cores>USA!$vp>7552#10!$provinces>1453!1528!1559!1643!4507!4522!4535!7524!7552!7555!7599!12313!12398!12401!$?
372;buildings>infrastructure#2!industrial_complex#2!$manpower>1854481$category>town$resources>aluminium#14!$owner>USA$cores>USA!$vp>12489#1!$provinces>1503!1646!4444!4567!4597!4625!7485!7543!7586!10355!10477!12458!12489!12778!$?
373;buildings>infrastructure#3!industrial_complex#5!$manpower>3629365$category>large_city$resources>aluminium#12!$owner>USA$cores>USA!$vp>4569#10!10717#10!10370#1!$provinces>1441!1523!1534!1564!1621!4449!4540!4569!7449!7607!10333!10370!10391!10516!10717!12346!12361!12463!$?
374;buildings>infrastructure#2!industrial_complex#2!air_base#2!$manpower>2396039$category>city$resources>oil#60!aluminium#20!$owner>USA$cores>USA!$vp>1806#1!$provinces>1618!1806!2043!4919!5103!6803!7762!7904!7945!8025!9822!10702!10798!11743!11802!12624!$?
